# M166 · Volcado numérico de variantes (sin imágenes)
# Generado: 2026-08-29 04:13:16
# Perfiles: ALTA <=16/6000/12 · MEDIA <=8/1500/8 · BAJA <=6/700/4
# Apoyo objetivo z_min=0.045 (rango 0.025..0.065)
# modulo	variante	obj	tris	mats	z_min	apoyo	cumple
13-Herramientas	antorcha_mano_lowpoly_media	obj=4	tris=88	mats=4	z_min=0.0450	OK	ALTA/MEDIA/BAJA
13-Herramientas	antorcha_mano_lowpoly_baja	obj=4	tris=77	mats=4	z_min=0.0450	OK	ALTA/MEDIA/BAJA
13-Herramientas	pico_hierro_lowpoly_media	obj=3	tris=92	mats=3	z_min=0.0450	OK	ALTA/MEDIA/BAJA
13-Herramientas	pico_hierro_lowpoly_baja	obj=3	tris=83	mats=3	z_min=0.0450	OK	ALTA/MEDIA/BAJA
13-Herramientas	pico_piedra_lowpoly_media	obj=3	tris=82	mats=3	z_min=0.0450	OK	ALTA/MEDIA/BAJA
13-Herramientas	pico_piedra_lowpoly_baja	obj=3	tris=74	mats=3	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	cristal_ancestral_lowpoly_media	obj=4	tris=174	mats=4	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	cristal_ancestral_lowpoly_baja	obj=4	tris=162	mats=4	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	monton_ramas_lowpoly_media	obj=1	tris=343	mats=2	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	monton_ramas_lowpoly_baja	obj=1	tris=278	mats=2	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	nido_cocos_lowpoly_media	obj=5	tris=1276	mats=5	z_min=0.0450	OK	ALTA/MEDIA
15-Recursos	nido_cocos_lowpoly_baja	obj=5	tris=970	mats=5	z_min=0.0450	OK	ALTA/MEDIA
15-Recursos	piedra_afilar_lowpoly_media	obj=2	tris=15	mats=2	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	piedra_afilar_lowpoly_baja	obj=2	tris=15	mats=2	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	roca_comun_media	obj=1	tris=100	mats=1	z_min=0.0450	OK	ALTA/MEDIA/BAJA
15-Recursos	roca_comun_baja	obj=1	tris=70	mats=1	z_min=0.0450	OK	ALTA/MEDIA/BAJA
